id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3]
401013357,2018,1,regular,2018-08-25T21:30:00.000Z,false,false,8684,3985,Warren McGuirk Alumni Stadium,UMass,FBS Independents,63,21,14,21,7,Duquesne,,15,3,6,0,6
401014972,2018,1,regular,2018-08-25T23:00:00.000Z,false,false,20050,3895,Rice Stadium,Rice,Conference USA,31,13,6,0,12,Prairie View,,28,0,21,7,0
401022510,2018,1,regular,2018-08-25T23:30:00.000Z,false,true,31007,5388,Canvas Stadium,Colorado State,Mountain West,34,7,0,13,14,Hawai'i,Mountain West,43,10,13,14,6
401013437,2018,1,regular,2018-08-26T02:00:00.000Z,false,false,20322,3601,Aggie Memorial Stadium,New Mexico State,,7,0,0,0,7,Wyoming,Mountain West,29,9,6,7,7
401020671,2018,1,regular,2018-08-30T23:00:00.000Z,false,false,0,3919,Scheumann Stadium,Ball State,Mid-American,42,7,14,14,7,Central Connecticut,,6,0,0,0,6
401013328,2018,1,regular,2018-08-30T23:00:00.000Z,false,false,0,3953,TCF Bank Stadium,Minnesota,Big Ten,48,7,28,3,10,New Mexico State,,10,7,3,0,0
401021651,2018,1,regular,2018-08-30T23:00:00.000Z,false,false,0,4246,Georgia State Stadium,Georgia State,Sun Belt,24,0,14,0,10,Kennesaw State,,20,7,7,6,0
401019470,2018,1,regular,2018-08-30T23:00:00.000Z,false,true,0,3892,Rentschler Field,Connecticut,American Athletic,17,0,10,0,7,UCF,American Athletic,56,14,14,14,14
401014979,2018,1,regular,2018-08-31T00:00:00.000Z,false,false,0,3803,Legion Field,UAB,Conference USA,52,7,21,10,14,Savannah State,,0,0,0,0,0
401013342,2018,1,regular,2018-08-31T00:00:00.000Z,false,true,0,3907,Ross-Ade Stadium,Purdue,Big Ten,27,14,3,7,3,Northwestern,Big Ten,31,14,17,0,0
401013489,2018,1,regular,2018-08-31T00:00:00.000Z,false,false,0,3646,Boone Pickens Stadium,Oklahoma State,Big 12,58,17,14,14,13,Missouri State,,17,0,7,10,0
401021655,2018,1,regular,2018-08-31T00:00:00.000Z,false,false,0,3817,Malone Stadium,Louisiana Monroe,Sun Belt,34,7,9,10,8,Southeastern Louisiana,,31,14,7,0,10
401012675,2018,1,regular,2018-08-31T00:00:00.000Z,false,false,0,587,Rice-Eccles Stadium,Utah,Pac-12,41,7,10,14,10,Weber State,,10,10,0,0,0
401013086,2018,1,regular,2018-08-31T00:00:00.000Z,false,false,0,4729,Benson Field at Yulman Stadium,Tulane,American Athletic,17,0,0,14,3,Wake Forest,ACC,23,0,7,3,7
401012258,2018,1,regular,2018-08-31T00:30:00.000Z,false,false,0,3795,Kyle Field,Texas A&M,SEC,59,7,28,17,7,Northwestern State,,7,0,0,0,7
401022511,2018,1,regular,2018-08-31T02:00:00.000Z,false,false,0,3935,Spartan Stadium,San José State,Mountain West,38,14,7,10,7,UC Davis,,44,14,21,2,7
401020673,2018,1,regular,2018-08-31T22:00:00.000Z,false,false,0,3980,Waldo Stadium,Western Michigan,Mid-American,42,7,0,28,7,Syracuse,ACC,55,24,10,14,7
401020672,2018,1,regular,2018-08-31T22:30:00.000Z,false,false,0,3912,Rynearson Stadium,Eastern Michigan,Mid-American,51,13,17,14,7,Monmouth,,17,0,3,7,7
401012880,2018,1,regular,2018-08-31T23:00:00.000Z,false,false,0,3936,Spartan Stadium,Michigan State,Big Ten,38,6,14,7,11,Utah State,Mountain West,31,7,7,10,7
401013089,2018,1,regular,2018-08-31T23:00:00.000Z,false,false,0,3982,Wallace Wade Stadium,Duke,ACC,34,3,14,7,10,Army,FBS Independents,14,0,0,14,0
401022517,2018,1,regular,2018-09-01T01:00:00.000Z,false,false,0,3816,Mackay Stadium,Nevada,Mountain West,72,9,21,28,14,Portland State,,19,9,10,0,0
401022512,2018,1,regular,2018-09-01T01:00:00.000Z,false,false,0,3940,Stanford Stadium,Stanford,Pac-12,31,0,9,15,7,San Diego State,Mountain West,10,7,0,3,0
401013354,2018,1,regular,2018-09-01T01:00:00.000Z,false,false,0,347,Camp Randall Stadium,Wisconsin,Big Ten,34,7,17,3,7,Western Kentucky,Conference USA,3,0,0,3,0
401012680,2018,1,regular,2018-09-01T01:30:00.000Z,true,false,0,3937,Sports Authority Field at Mile High,Colorado State,Mountain West,13,7,3,0,3,Colorado,Pac-12,45,21,7,17,0
401012253,2018,1,regular,2018-09-01T16:00:00.000Z,true,false,0,3891,NRG Stadium,Texas Tech,Big 12,27,7,10,10,0,Ole Miss,SEC,47,24,6,7,10
401012804,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3832,Memorial Stadium,Illinois,Big Ten,31,3,0,21,7,Kent State,Mid-American,24,7,10,7,0
401012872,2018,1,regular,2018-09-01T16:00:00.000Z,true,false,0,3719,FedEx Field,Maryland,Big Ten,34,14,10,0,10,Texas,Big 12,29,7,15,7,0
401012682,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3861,Ohio Stadium,Ohio State,Big Ten,77,21,21,14,21,Oregon State,Pac-12,31,7,7,17,0
401013065,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3835,Gaylord Family Oklahoma Memorial Stadium,Oklahoma,Big 12,63,28,14,14,7,Florida Atlantic,Conference USA,14,0,0,7,7
401012820,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3754,High Point Solutions Stadium,Rutgers,Big Ten,35,7,14,7,7,Texas State,Sun Belt,7,0,0,7,0
401014977,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3895,Rice Stadium,Rice,Conference USA,27,7,17,3,0,Houston,American Athletic,45,3,14,14,14
401012256,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3994,Williams-Brice Stadium,South Carolina,SEC,49,14,14,14,7,Coastal Carolina,Sun Belt,15,0,3,3,9
401013072,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3616,Amon G. Carter Stadium,TCU,Big 12,55,17,21,17,0,Southern,,7,0,7,0,0
401013091,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3670,Carter-Finley Stadium,NC State,ACC,24,0,17,0,7,James Madison,,13,7,0,3,3
401019473,2018,1,regular,2018-09-01T16:00:00.000Z,false,false,0,3806,Lincoln Financial Field,Temple,American Athletic,17,3,7,7,0,Villanova,,19,13,0,0,6
401013088,2018,1,regular,2018-09-01T16:20:00.000Z,false,false,0,3836,Memorial Stadium,Clemson,ACC,48,10,17,14,7,Furman,,7,0,0,0,7
401013090,2018,1,regular,2018-09-01T16:30:00.000Z,false,false,0,721,Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,ACC,41,7,13,21,0,Alcorn State,,0,0,0,0,0
401013087,2018,1,regular,2018-09-01T17:00:00.000Z,false,false,0,3615,Alumni Stadium,Boston College,ACC,55,14,34,0,7,UMass,FBS Independents,21,7,0,0,14
401022514,2018,1,regular,2018-09-01T18:00:00.000Z,false,false,0,3713,Falcon Stadium,Air Force,Mountain West,38,14,10,0,14,Stony Brook,,0,0,0,0,0
401020675,2018,1,regular,2018-09-01T18:00:00.000Z,false,false,0,3876,Peden Stadium,Ohio,Mid-American,38,3,14,14,7,Howard,,32,10,12,7,3
401012683,2018,1,regular,2018-09-01T19:30:00.000Z,false,false,0,3984,War Memorial Stadium,Wyoming,Mountain West,19,2,14,3,0,Washington State,Pac-12,41,10,3,7,21
401012248,2018,1,regular,2018-09-01T19:30:00.000Z,true,false,0,5348,Mercedes-Benz Stadium,Auburn,SEC,21,9,6,0,6,Washington,Pac-12,16,3,10,0,3
401013349,2018,1,regular,2018-09-01T19:30:00.000Z,false,false,105232,3632,Beaver Stadium,Penn State,Big Ten,45,7,3,14,14,Appalachian State,Sun Belt,38,10,0,0,28
401012250,2018,1,regular,2018-09-01T19:30:00.000Z,false,false,0,3917,Sanford Stadium,Georgia,SEC,45,17,21,7,0,Austin Peay,,0,0,0,0,0
401013092,2018,1,regular,2018-09-01T19:30:00.000Z,false,false,0,3752,Heinz Field,Pittsburgh,ACC,33,19,14,0,0,Albany,,7,7,0,0,0
401012251,2018,1,regular,2018-09-01T19:30:00.000Z,false,false,0,3683,Commonwealth Stadium,Kentucky,SEC,35,7,14,7,7,Central Michigan,Mid-American,20,3,17,0,0
401012257,2018,1,regular,2018-09-01T19:30:00.000Z,true,false,0,3628,Bank of America Stadium,Tennessee,SEC,14,0,7,7,0,West Virginia,Big 12,40,10,3,20,7
401012862,2018,1,regular,2018-09-01T19:40:00.000Z,false,false,0,3793,Kinnick Stadium,Iowa,Big Ten,33,0,3,14,16,Northern Illinois,Mid-American,7,0,0,0,7
401012255,2018,1,regular,2018-09-01T20:00:00.000Z,false,false,0,3838,Faurot Field,Missouri,SEC,51,14,24,10,3,UT Martin,,14,0,7,7,0
401012684,2018,1,regular,2018-09-01T20:00:00.000Z,false,false,0,3831,California Memorial Stadium,California,Pac-12,24,7,10,7,0,North Carolina,ACC,17,0,0,3,14
401012678,2018,1,regular,2018-09-01T20:00:00.000Z,false,false,0,477,Los Angeles Memorial Coliseum,USC,Pac-12,43,6,13,0,24,UNLV,Mountain West,21,7,7,0,7
401012247,2018,1,regular,2018-09-01T20:00:00.000Z,false,false,0,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,SEC,55,10,28,10,7,Eastern Illinois,,20,0,6,7,7
401020674,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,3965,UB Stadium,Buffalo,Mid-American,48,20,14,14,0,Delaware State,,10,0,3,0,7
401021656,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,3975,Veterans Memorial Stadium,Troy,Sun Belt,20,7,0,7,6,Boise State,Mountain West,56,14,21,7,14
401013448,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,3992,Williams Stadium,Liberty,,52,14,0,10,28,Old Dominion,Conference USA,10,3,7,0,0
401021653,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,3608,Paulson Stadium,Georgia Southern,Sun Belt,37,13,3,7,14,South Carolina State,,6,0,0,6,0
401013094,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,3923,Scott Stadium,Virginia,ACC,42,14,14,7,7,Richmond,,13,10,0,3,0
401019472,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,3886,Raymond James Stadium,South Florida,American Athletic,34,7,17,7,3,Elon,,14,0,0,7,7
401014975,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,3996,Yager Stadium,Miami (OH),Mid-American,28,0,7,7,14,Marshall,Conference USA,35,14,7,7,7
401014973,2018,1,regular,2018-09-01T22:00:00.000Z,false,false,0,4418,Jerry Richardson Stadium,Charlotte,Conference USA,34,3,10,7,14,Fordham,,10,0,7,3,0
401021652,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3625,Centennial Bank Stadium,Arkansas State,Sun Belt,48,7,14,27,0,Southeast Missouri State,,21,0,14,0,7
401012679,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,1056,Rose Bowl,UCLA,Pac-12,17,10,0,7,0,Cincinnati,American Athletic,26,0,17,0,9
401014974,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3797,Ladd Peebles Stadium,South Alabama,Sun Belt,26,0,7,6,13,Louisiana Tech,Conference USA,30,7,13,3,7
401013048,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3833,Memorial Stadium,Kansas,Big 12,23,7,3,0,10,Nicholls,,26,7,3,7,3
401019474,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3805,Liberty Bowl Memorial Stadium,Memphis,American Athletic,66,28,28,0,10,Mercer,,14,0,0,0,14
401021654,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3666,Cajun Field,Louisiana,Sun Belt,49,21,14,14,0,Grambling,,17,3,7,0,7
401014978,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3815,M. M. Roberts Stadium,Southern Mississippi,Conference USA,55,14,27,7,7,Jackson State,,7,0,0,7,0
401013057,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3636,Bill Snyder Family Football Stadium,Kansas State,Big 12,27,3,9,0,15,South Dakota,,24,10,14,0,0
401020676,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3739,Glass Bowl,Toledo,Mid-American,66,21,21,21,3,VMI,,3,0,3,0,0
401019476,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,3674,Skelly Field at H. A. Chapman Stadium,Tulsa,American Athletic,38,7,14,3,14,Central Arkansas,,27,13,0,7,7
401012851,2018,1,regular,2018-09-01T23:00:00.000Z,false,false,0,218,FIU Stadium,Florida International,Conference USA,28,7,7,7,7,Indiana,Big Ten,38,14,14,7,3
401012249,2018,1,regular,2018-09-01T23:30:00.000Z,false,false,0,3634,Ben Hill Griffin Stadium,Florida,SEC,53,10,28,13,2,Charleston Southern,,6,0,0,0,6
401012259,2018,1,regular,2018-09-01T23:30:00.000Z,false,false,0,3973,Vanderbilt Stadium,Vanderbilt,SEC,35,7,7,7,14,Middle Tennessee,Conference USA,7,7,0,0,0
401012254,2018,1,regular,2018-09-01T23:30:00.000Z,false,false,0,3693,Davis Wade Stadium,Mississippi State,SEC,63,21,14,14,14,Stephen F. Austin,,6,0,3,3,0
401014976,2018,1,regular,2018-09-01T23:30:00.000Z,false,false,0,3825,Apogee Stadium,North Texas,Conference USA,46,14,6,16,10,SMU,American Athletic,23,0,0,0,23
401012888,2018,1,regular,2018-09-01T23:30:00.000Z,false,false,0,3855,Notre Dame Stadium,Notre Dame,FBS Independents,24,14,7,3,0,Michigan,Big Ten,17,0,10,0,7
401014980,2018,1,regular,2018-09-01T23:30:00.000Z,false,false,0,3946,Sun Bowl Stadium,UTEP,Conference USA,10,0,10,0,0,Northern Arizona,,30,10,7,13,0
401022515,2018,1,regular,2018-09-02T00:00:00.000Z,false,false,0,3971,University Stadium,New Mexico,Mountain West,62,28,7,13,14,Incarnate Word,,30,7,9,0,14
401012681,2018,1,regular,2018-09-02T00:00:00.000Z,false,false,0,3626,Autzen Stadium,Oregon,Pac-12,58,7,30,14,7,Bowling Green,Mid-American,24,10,7,7,0
401013026,2018,1,regular,2018-09-02T00:00:00.000Z,false,false,0,4727,McLane Stadium,Baylor,Big 12,55,17,21,10,7,Abilene Christian,,27,7,13,7,0
401012246,2018,1,regular,2018-09-02T00:00:00.000Z,true,false,57280,4013,Camping World Stadium,Alabama,SEC,51,14,14,16,7,Louisville,ACC,14,0,0,7,7
401022516,2018,1,regular,2018-09-02T02:00:00.000Z,false,false,0,3660,Bulldog Stadium,Fresno State,Mountain West,79,16,28,14,21,Idaho,,13,6,0,7,0
401012677,2018,1,regular,2018-09-02T02:30:00.000Z,false,false,0,3947,Sun Devil Stadium,Arizona State,Pac-12,49,14,14,14,7,UT San Antonio,Conference USA,7,0,0,0,7
401012676,2018,1,regular,2018-09-02T02:45:00.000Z,false,false,0,3619,Arizona Stadium,Arizona,Pac-12,23,0,10,0,13,BYU,FBS Independents,28,0,7,21,0
401019475,2018,1,regular,2018-09-02T03:00:00.000Z,false,false,0,3610,Aloha Stadium,Hawai'i,Mountain West,59,14,24,0,21,Navy,American Athletic,41,0,14,14,13
401079833,2018,1,regular,2018-09-02T19:30:00.000Z,false,false,0,3699,Dowdy-Ficklen Stadium,East Carolina,American Athletic,23,3,14,3,3,North Carolina A&T,,28,7,7,0,14
401013095,2018,1,regular,2018-09-02T23:30:00.000Z,true,false,0,3687,AT&T Stadium,LSU,SEC,33,10,17,6,0,Miami,ACC,17,3,0,0,14
401013096,2018,1,regular,2018-09-04T00:00:00.000Z,false,true,0,3697,Bobby Bowden Field at Doak Campbell Stadium,Florida State,ACC,3,0,3,0,0,Virginia Tech,ACC,24,10,7,0,7
