,id,week,offense,offense_conference,defense,defense_conference,offense_score,defense_score,drive_id,period,clock.minutes,clock.seconds,yard_line,down,distance,yards_gained,play_type,play_text,home_team,away_team,neutral_site,conference_game,home_score,away_score
142227,401013183,13,Virginia Tech,ACC,Virginia,ACC,31,31,40101318326,4,1,51,81,1,10,0,Fumble Recovery Touchdown (Own),"Steven Peoples run for 18 yds Steven Peoples fumbled, recovered by VTech Hezekiah Grimsley for a TD VIRGINIA Penalty, Defensive Offside ( Yards) to the Virg 3 for a 1ST down (Brian Johnson KICK)",Virginia Tech,Virginia,FALSE,TRUE,31,31
142702,401013186,13,Pittsburgh,ACC,Miami,ACC,0,10,40101318610,2,9,8,85,4,4,65,Punt Return Touchdown,"Kirk Christodoulou punt for 50 yds , DeeJay Dallas returns for 65 yds for a TD (Bubba Baxa KICK)",Miami,Pittsburgh,FALSE,TRUE,10,0
143069,401013335,13,Wisconsin,Big Ten,Minnesota,Big Ten,0,17,4010133358,2,1,5,27,4,8,69,Punt Return Touchdown,"Connor Allen punt for 42 yds , Demetrius Douglas returns for 69 yds for a TD (Emmit Carpenter KICK)",Wisconsin,Minnesota,FALSE,TRUE,0,17
143197,401013447,13,Liberty,,New Mexico State,,17,7,4010134478,1,5,52,20,1,0,85,Kickoff Return Touchdown,"Alex Probert kickoff for 65 yds , Jason Huntley return for 85 yds for a TD (Dylan Brown KICK)",Liberty,New Mexico State,FALSE,FALSE,17,7
143487,401015051,13,Florida International,Conference USA,Marshall,Conference USA,10,21,40101505118,3,1,23,11,4,4,0,Blocked Punt Touchdown,Stone Wilson punt blocked by Brandon Drayton blocked by Brandon Drayton  Brandon Drayton return for no gain for a TD (Justin Rohrwasser KICK),Florida International,Marshall,FALSE,TRUE,10,21
145008,401019538,13,Connecticut,American Athletic,Temple,American Athletic,7,13,4010195383,1,6,53,35,1,0,99,Kickoff Return Touchdown,"Michael Tarbutt kickoff for 64 yds , Isaiah Wright return for 99 yds for a TD (TEAM PAT MISSED) Cole Lerch fumbled,",Connecticut,Temple,FALSE,TRUE,7,13
145415,401019540,13,Tulsa,American Athletic,SMU,American Athletic,21,14,40101954015,3,11,15,75,4,19,45,Blocked Field Goal Touchdown,John Parker Romo 42 yd FG BLOCKED blocked by Rodney Clemons  Rodney Clemons return for 45 yds for a TD (Kevin Robledo KICK),Tulsa,SMU,FALSE,TRUE,21,14
145907,401020787,13,Akron,Mid-American,Ohio,Mid-American,0,21,4010207877,1,2,38,99,4,17,37,Punt Return Touchdown,"Nick Gasser punt for 36 yds , Kylan Nelson returns for 37 yds for a TD (Louie Zervos KICK)",Ohio,Akron,FALSE,TRUE,21,0
146084,401020788,13,Bowling Green,Mid-American,Buffalo,Mid-American,7,19,4010207887,2,14,40,62,3,4,69,Fumble Recovery Touchdown (Opponent),"Jarret Doege pass complete to Scott Miller for 6 yds for a TD Scott Miller fumbled, forced by Khalil Hodge, recovered by Buff Brandon Williams  , return for 69 yds (Adam Mitcheson Kick MISSED)",Bowling Green,Buffalo,FALSE,TRUE,7,19
146414,401020790,13,Eastern Michigan,Mid-American,Kent State,Mid-American,0,10,4010207902,1,11,19,90,1,10,16,Fumble Recovery Touchdown (Opponent),"Tyler Wiegers pass complete to Arthur Jackson III for 6 yds for a TD Arthur Jackson III fumbled, forced by Cepeda Phillips, recovered by KntSt Jamal Parker  , return for 16 yds (M Trickett KICK)",Kent State,Eastern Michigan,FALSE,TRUE,10,0
146887,401021698,13,Texas State,Sun Belt,Arkansas State,Sun Belt,7,21,40102169816,3,8,47,22,4,2,17,Blocked Punt Touchdown,"Clayton Stewart punt blocked by Justin McInnis, Justin McInnis returns for 17 yds for a TD (Blake Grupe KICK)",Texas State,Arkansas State,FALSE,TRUE,7,21
149118,401056699,14,UCF,American Athletic,Memphis,American Athletic,14,24,4010566998,2,11,52,94,3,6,6,Fumble Recovery Touchdown (Own),"Darriel Mack Jr. run for 5 yds Darriel Mack Jr. fumbled, forced by Sanchez Blake Jr., recovered by UCF Michael Colubiale for a TD (Matthew Wright KICK)",UCF,Memphis,FALSE,TRUE,14,24
150238,401056705,14,Alabama,SEC,Georgia,SEC,14,21,40105670510,2,2,18,1,1,1,1,Fumble Recovery Touchdown (Own),"Josh Jacobs run for no gain Josh Jacobs fumbled, recovered by Alab Josh Jacobs for a TD (Joseph Bulovas KICK)",Georgia,Alabama,TRUE,TRUE,21,14
150917,401098253,14,Akron,Mid-American,South Carolina,SEC,3,21,40109825310,2,8,9,76,4,3,0,Fumble Recovery Touchdown (Opponent),"TEAM run for a loss of 24 yards TEAM fumbled, recovered by SCaro Deebo Samuel for a TD (Parker White KICK)",South Carolina,Akron,FALSE,FALSE,21,3
153131,401032063,16,Wake Forest,ACC,Memphis,American Athletic,10,28,4010320639,2,11,4,35,4,7,97,Kickoff Return Touchdown,"Darren Ford kickoff for 62 yds , Tony Pollard return for 97 yds for a TD (Riley Patterson KICK)",Wake Forest,Memphis,TRUE,FALSE,10,28
155949,401032080,16,Cincinnati,American Athletic,Virginia Tech,ACC,14,7,4010320806,2,11,22,1,2,1,1,Fumble Recovery Touchdown (Own),"Michael Warren II run for no gain Michael Warren II fumbled, forced by Dax Hollifield, recovered by Cincy Kahlil Lewis for a TD (Ryan Jones KICK)",Virginia Tech,Cincinnati,TRUE,FALSE,7,14
157436,401032088,16,Penn State,Big Ten,Kentucky,SEC,0,10,4010320887,1,0,45,2,4,13,58,Punt Return Touchdown,"Blake Gillikin punt for 56 yds , Lynn Bowden Jr. returns for 58 yds for a TD (Miles Butler KICK)",Penn State,Kentucky,TRUE,FALSE,0,10
157888,401035251,16,Stanford,Pac-12,Pittsburgh,ACC,14,13,40103525120,4,11,28,2,1,2,2,Fumble Recovery Touchdown (Own),"K.J. Costello run for 1 yd K.J. Costello fumbled, forced by Dewayne Hendrix, recovered by Stanf Cameron Scarlett for a TD (Jet Toner KICK)",Pittsburgh,Stanford,TRUE,FALSE,13,14
